Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Error | Event ID : 0 | Event Name :  | Formatter : 16.11.2021 22:00:04 --- Sistemsel Hata Mesajı: A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: D:\Projects\Web\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : 16.11.2021 22:01:07 --> Servis Başladı
Log Level : Error | Event ID : 0 | Event Name :  | Formatter : 16.11.2021 22:02:04 --- Sistemsel Hata Mesajı: A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: D:\Projects\Web\ReminderMe.API - Kopya\ReminderMe.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : 16.11.2021 22:49:31 --> Servis Başladı
Log Level : Error | Event ID : 0 | Event Name :  | Formatter : 16.11.2021 22:53:26 --- Sistemsel Hata Mesajı: A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: D:\Projects\Web\ReminderMe.API - Kopya\ReminderMe.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : 16.11.2021 22:55:49 --> Servis Başladı
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: D:\Projects\Web\ReminderMe.API - Kopya\ReminderMe.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : 16.11.2021 23:00:58 --> Servis Başladı
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: D:\Projects\Web\ReminderMe.API - Kopya\ReminderMe.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : 16.11.2021 23:03:27 --> Servis Başladı
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : 16.11.2021 23:12:21 --> Servis Başladı
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: D:\Projects\Web\ReminderMe.API - Kopya\ReminderMe.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : 17.11.2021 09:46:45 --> Servis Başladı
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : 17.11.2021 10:08:04 --> Servis Başladı
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : 17.11.2021 10:09:20 --> Servis Başladı
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : 17.11.2021 10:11:39 --> Servis Başladı
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : 17.11.2021 13:21:37 --> Servis Başladı
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : 17.11.2021 13:25:04 --> Servis Başladı
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 1 | Event Name :  | Formatter : Request starting HTTP/1.1 GET http://localhost:5000/api/GetPrivateDayList - -
Log Level : Information | Event ID : 0 | Event Name : ExecutingEndpoint | Formatter : Executing endpoint 'ReminderMe.API.Controllers.PrivateDayController.GetPrivateDayList (ReminderMe.API)'
Log Level : Information | Event ID : 3 | Event Name : ControllerActionExecuting | Formatter : Route matched with {action = "GetPrivateDayList", controller = "PrivateDay"}. Executing controller action with signature System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.JsonResult] GetPrivateDayList() on controller ReminderMe.API.Controllers.PrivateDayController (ReminderMe.API).
Log Level : Information | Event ID : 1 | Event Name : ActionMethodExecuting | Formatter : Executing action method ReminderMe.API.Controllers.PrivateDayController.GetPrivateDayList (ReminderMe.API) - Validation state: Valid
Log Level : Error | Event ID : 0 | Event Name :  | Formatter : 17.11.2021 13:31:48 --- Sistemsel Hata Mesajı: The ConnectionString property has not been initialized.
Log Level : Information | Event ID : 2 | Event Name : ActionMethodExecuted | Formatter : Executed action method ReminderMe.API.Controllers.PrivateDayController.GetPrivateDayList (ReminderMe.API), returned result Microsoft.AspNetCore.Mvc.JsonResult in 3401.9462ms.
Log Level : Information | Event ID : 1 | Event Name : JsonResultExecuting | Formatter : Executing JsonResult, writing value of type '<>f__AnonymousType2`2[[System.Boolean, System.Private.CoreLib, Version=6.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e],[System.String, System.Private.CoreLib, Version=6.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]'.
Log Level : Information | Event ID : 2 | Event Name : ActionExecuted | Formatter : Executed action ReminderMe.API.Controllers.PrivateDayController.GetPrivateDayList (ReminderMe.API) in 3521.7829ms
Log Level : Information | Event ID : 1 | Event Name : ExecutedEndpoint | Formatter : Executed endpoint 'ReminderMe.API.Controllers.PrivateDayController.GetPrivateDayList (ReminderMe.API)'
Log Level : Information | Event ID : 2 | Event Name :  | Formatter : Request finished HTTP/1.1 GET http://localhost:5000/api/GetPrivateDayList - - - 200 - application/json;+charset=utf-8 3577.5737ms
Log Level : Information | Event ID : 1 | Event Name :  | Formatter : Request starting HTTP/1.1 GET http://localhost:5000/api/GetPrivateDayList - -
Log Level : Information | Event ID : 0 | Event Name : ExecutingEndpoint | Formatter : Executing endpoint 'ReminderMe.API.Controllers.PrivateDayController.GetPrivateDayList (ReminderMe.API)'
Log Level : Information | Event ID : 3 | Event Name : ControllerActionExecuting | Formatter : Route matched with {action = "GetPrivateDayList", controller = "PrivateDay"}. Executing controller action with signature System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.JsonResult] GetPrivateDayList() on controller ReminderMe.API.Controllers.PrivateDayController (ReminderMe.API).
Log Level : Information | Event ID : 1 | Event Name : ActionMethodExecuting | Formatter : Executing action method ReminderMe.API.Controllers.PrivateDayController.GetPrivateDayList (ReminderMe.API) - Validation state: Valid
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: https://localhost:5001
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: http://localhost:5000
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: https://localhost:5001
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: http://localhost:5000
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Worker running at: 11/17/2021 13:52:02 +03:00
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: https://localhost:5001
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: http://localhost:5000
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Worker running at: 11/17/2021 13:52:33 +03:00
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Worker running at: 11/17/2021 13:52:56 +03:00
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Worker running at: 11/17/2021 13:53:06 +03:00
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Worker running at: 11/17/2021 13:53:15 +03:00
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Worker running at: 11/17/2021 13:53:24 +03:00
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Worker running at: 11/17/2021 13:53:33 +03:00
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Worker running at: 11/17/2021 13:53:42 +03:00
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: https://localhost:5001
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: http://localhost:5000
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: https://localhost:5001
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: http://localhost:5000
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: https://localhost:5001
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: http://localhost:5000
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: https://localhost:5001
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: http://localhost:5000
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: https://localhost:5001
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: http://localhost:5000
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: https://localhost:5001
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: http://localhost:5000
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: https://localhost:5001
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: http://localhost:5000
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: https://localhost:5001
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: http://localhost:5000
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: https://localhost:5001
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: http://localhost:5000
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: https://localhost:5001
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: http://localhost:5000
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: https://localhost:5001
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: http://localhost:5000
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: https://localhost:5001
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: http://localhost:5000
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: https://localhost:5001
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: http://localhost:5000
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: https://localhost:5001
Log Level : Information | Event ID : 14 | Event Name : ListeningOnAddress | Formatter : Now listening on: http://localhost:5000
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Users\Admin\Downloads\ReminderMe.API\ReminderMe.API\ReminderMe.API\ReminderMe.API
Log Level : Error | Event ID : 0 | Event Name :  | Formatter : 18.11.2021 09:36:58 --- Sistemsel Hata Mesajı: The operation has timed out.
